transaction_id,customer_id,merchant_id,amount,transaction_time,city,payment_method,is_fraud
T001,C001,M001,799,2026-01-10 10:01:11,Mumbai,UPI,0
T002,C002,M003,240,2026-01-10 10:04:22,Delhi,UPI,0
T003,C003,M005,48000,2026-01-10 10:05:15,Bangalore,Card,1
T004,C004,M004,350,2026-01-10 10:07:12,Kolkata,UPI,0
T005,C005,M006,67000,2026-01-10 10:08:45,Hyderabad,Card,1
T006,C006,M002,1599,2026-01-10 10:09:55,Pune,UPI,0
T007,C007,M007,3000,2026-01-10 10:10:44,Chennai,Wallet,0
T008,C008,M009,85000,2026-01-10 10:11:08,Ahmedabad,Card,1
T009,C009,M003,450,2026-01-10 10:12:33,Jaipur,UPI,0
T010,C010,M010,12000,2026-01-10 10:14:17,Surat,Card,0
T011,C001,M006,45000,2026-01-10 10:15:11,Delhi,Card,1
T012,C003,M001,900,2026-01-10 10:16:55,Bangalore,UPI,0
T013,C005,M005,78000,2026-01-10 10:18:02,Mumbai,Card,1
T014,C008,M002,1300,2026-01-10 10:19:28,Ahmedabad,UPI,0
T015,C002,M009,52000,2026-01-10 10:20:10,Mumbai,Card,1
